right 	low	3.0531E-004	LBRT	18.29	17.64	5.584E-003	5.386E-003
right 	high	4.2981E-004	LBRT	18.29	17.64	7.861E-003	7.861E-003
left	low	3.5309E-004	LBRT	21.24	21.11	7.500E-003	7.454E-003
left	high	5.1308E-004	LBRT	21.24	21.11	1.090E-002	1.090E-002
right 	low	3.0000E-004	LTRB	18.29	17.64	5.487E-003	5.292E-003
right 	high	4.6988E-004	LTRB	18.29	17.64	8.594E-003	8.594E-003
left	low	3.2000E-004	LTRB	21.24	21.11	6.797E-003	6.755E-003
left	high	4.5715E-004	LTRB	21.24	21.11	9.710E-003	9.710E-003

