6683, 316271, 109, 122563735, 56, 160, 0.0988691, 0.105202, 0.0601959, 0.106721, 4.69353e-05, 1.87048e-05, -0.0315491, 0.993353
6666, 316114, 1217, 1239372406, 56, 130, 0.0518768, 0.0596198, 0.129873, 0.010297, -1.34304e-05, -3.78653e-06, -0.0132734, 0.988336
6675, 316202, 216, 305961374, 45, 130, 0.0770657, 0.0783274, 0.0161075, 1.13956, -1.47504e-05, 0.000169907, -0.0951226, 0.990811
6674, 316187, 826, 1129025997, 56, 137, 0.0535689, 0.0555504, 0.03567, 0.234354, 3.01558e-05, 6.98991e-05, -0.0163212, 0.991391
6681, 316240, 1014, 1429435375, 56, 130, 0.057729, 0.0605058, 0.0458938, 0.0859779, 4.54978e-05, 3.43871e-06, -0.0106365, 0.992598
6640, 315703, 515, 515760930, 45, 136, 0.0421647, 0.0464595, 0.0924414, 0.758763, 7.17516e-05, 0.000116468, -0.0281337, 0.98724
6654, 315840, 549, 664811335, 56, 148, 0.116804, 0.102856, -0.135614, 0.301824, -4.78462e-05, -7.37323e-05, 0.0163906, 0.00015549
6710, 316702, 347, 512344728, 56, 130, 0.0660389, 0.063559, -0.0390166, 0.476485, -2.1058e-05, 0.000107378, -0.0358415, 0.992086
6757, 317392, 971, 1358550322, 56, 137, 0.071387, 0.0778173, 0.0826335, 0.0787715, 3.9762e-05, 1.7435e-05, -0.0150321, 0.994305
6773, 317650, 415, 622462306, 56, 134, 0.0457503, 0.0501062, 0.0869327, 0.0528857, -2.62716e-05, -2.39575e-05, -0.0143989, 0.985175
6770, 317626, 1172, 1768638253, 56, 136, 0.107916, 0.126759, 0.14865, 1.15138, -0.000122379, 0.000123584, -0.10778, 0.993309
6759, 317438, 133, 210966601, 56, 130, 0.056749, 0.0598985, 0.0525815, 0.0184838, 1.14381e-05, -1.60516e-05, -0.0147291, 0.992046
6741, 317182, 399, 516666375, 45, 151, 0.109103, 0.11572, 0.0571765, 4.29557, -4.64336e-05, 0.000334187, -0.239182, 0.979497
6778, 317696, 54, 44156155, 56, 160, 0.0632478, 0.0528978, -0.19566, 0.816877, -5.87857e-05, 0.000130742, -0.0118542, 0
6960, 320040, 426, 656568982, 45, 135, 0.0513405, 0.052924, 0.0299199, 2.12215, 3.49114e-05, 0.000227332, -0.0540568, 0.992771
6931, 319756, 1351, 2165442873, 56, 130, 0.0677105, 0.0723917, 0.0646642, 7.21491, 8.83533e-05, 0.000418687, -0.152283, 0.655218
6931, 319756, 1443, 2306406556, 45, 130, 0.090635, 0.0957226, 0.0531492, 2.76763, 4.43892e-05, 0.000264339, -0.221229, 0.994328
