0.257768	0.020000	4.730000	0.260000		5.411120	4.048880
0.297768	0.020000	2.140000	0.072000		2.448160	1.831840
0.337768	0.020000	1.060000	0.037000		1.212640	0.907360
0.377768	0.020000	0.564000	0.022000		0.645216	0.482784
0.417768	0.020000	0.298000	0.014000		0.340912	0.255088
0.457768	0.020000	0.142000	0.008300		0.162448	0.121552
0.497768	0.020000	0.074600	0.005100		0.085342	0.063858
0.537768	0.020000	0.038100	0.003600		0.043586	0.032614
0.577768	0.020000	0.022000	0.003000		0.025168	0.018832
0.639198	0.040000	0.010400	0.001300		0.011898	0.008902
0.719198	0.040000	0.011900	0.001700		0.013614	0.010186
0.799198	0.040000	0.009280	0.001500		0.010616	0.007944
0.879198	0.040000	0.011200	0.001700		0.012813	0.009587
0.959198	0.040000	0.008110	0.001500		0.009278	0.006942
1.039200	0.040000	0.005770	0.001300		0.006601	0.004939
1.119200	0.040000	0.005730	0.001300		0.006555	0.004905
1.199200	0.040000	0.002840	0.001700		0.003249	0.002431
