4.8614000E-001	8.2802778E-002	7.8963466E-003	7.8963466E-003	4.0762374E-003	4.0762374E-003
4.9776800E-001	6.6890211E-002	5.7579957E-003	5.7579957E-003	3.2928893E-003	3.2928893E-003
5.1797900E-001	4.6091181E-002	4.9162631E-003	4.9162631E-003	2.2689891E-003	2.2689891E-003
5.3776800E-001	3.1151916E-002	3.5418866E-003	3.5418866E-003	1.5335549E-003	1.5335549E-003
5.7776800E-001	1.3943175E-002	1.4161715E-003	1.4161715E-003	6.8639838E-004	6.8639838E-004
5.9650400E-001	1.0011370E-002	1.0225205E-003	1.0225205E-003	4.9284242E-004	4.9284242E-004
6.3919800E-001	6.4224406E-003	9.7178328E-004	9.7178328E-004	3.1616564E-004	3.1616564E-004
6.5156000E-001	6.2459285E-003	9.8558536E-004	9.8558536E-004	3.0747625E-004	3.0747625E-004
7.1804000E-001	8.2093234E-003	8.5359079E-004	8.5359079E-004	4.0413078E-004	4.0413078E-004
7.1919800E-001	8.2696980E-003	8.5699271E-004	8.5699271E-004	4.0710292E-004	4.0710292E-004
7.9919800E-001	1.1998115E-002	1.3481330E-003	1.3481330E-003	5.9064642E-004	5.9064642E-004
8.5952200E-001	1.2742627E-002	1.4511627E-003	1.4511627E-003	6.2729748E-004	6.2729748E-004
8.7919800E-001	1.2316512E-002	1.3306374E-003	1.3306374E-003	6.0632058E-004	6.0632058E-004
9.1503300E-001	1.0837551E-002	9.7878152E-004	9.7878152E-004	5.3351388E-004	5.3351388E-004
9.5919800E-001	8.1299945E-003	9.4563708E-004	9.4563708E-004	4.0022556E-004	4.0022556E-004
9.7000300E-001	7.4288254E-003	1.0089128E-003	1.0089128E-003	3.6570821E-004	3.6570821E-004
