4.861400E-001		7.490643E-002	9.069912E-002	7.872654E-002	8.687902E-002
4.977680E-001		6.113221E-002	7.264821E-002	6.359732E-002	7.018310E-002
5.179790E-001		4.117492E-002	5.100744E-002	4.382219E-002	4.836017E-002
5.377680E-001		2.761003E-002	3.469380E-002	2.961836E-002	3.268547E-002
5.777680E-001		1.252700E-002	1.535935E-002	1.325678E-002	1.462957E-002
5.965040E-001		8.988850E-003	1.103389E-002	9.518528E-003	1.050421E-002
6.391980E-001		5.450657E-003	7.394224E-003	6.106275E-003	6.738606E-003
6.515600E-001		5.260343E-003	7.231514E-003	5.938452E-003	6.553405E-003
7.180400E-001		7.355733E-003	9.062914E-003	7.805193E-003	8.613454E-003
7.191980E-001		7.412705E-003	9.126691E-003	7.862595E-003	8.676801E-003
7.991980E-001		1.064998E-002	1.334625E-002	1.140747E-002	1.258876E-002
8.595220E-001		1.129146E-002	1.419379E-002	1.211533E-002	1.336992E-002
8.791980E-001		1.098587E-002	1.364715E-002	1.171019E-002	1.292283E-002
9.150330E-001		9.858770E-003	1.181633E-002	1.030404E-002	1.137106E-002
9.591980E-001		7.184357E-003	9.075632E-003	7.729769E-003	8.530220E-003
9.700030E-001		6.419913E-003	8.437738E-003	7.063117E-003	7.794534E-003
